Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Git and GitHub (2021),"Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Plus, he shows how to work with the popular GitHub website to explore existing projects, clone them to your local hard drive, and use them as templates for your new projects.",Course,2021-12-20 18:09 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2020-11-26 19:55 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2022-04-19 08:23 UTC,N/A,false,N/A,
Difficult Conversations: Talking about Race at Work,"People around the world are having difficult conversations about race and justice. But few are talking about <i>how</i> to talk about race. This has left some professionals sitting on the sidelines because they don't know what to say or how to say it. In this course, negotiation and conflict resolution expert Kwame Christian shows how to apply a useful framework to open up an effective dialogue at work and facilitate understanding. Kwame highlights the barriers that make talking about race so challenging. He then shares how to apply a framework that provides a consistent tool for how to have these conversations. Using this framework, you can acknowledge and validate emotions, use curiosity to open up dialogue, and work with others to determine what you're trying to solve. Plus, Kwame shares general tips for talking about race, including how to avoid common pitfalls and talk to your kids about race and society.",Course,2021-03-25 12:28 UTC,N/A,false,N/A,
"Machine Learning and AI Foundations: Prediction, Causation, and Statistical Inference","In the world of data science, machine learning and statistics are often lumped together, but they serve different purposes, and being versed in one doesn’t mean expertise in the other. In fact, applying a statistical approach to a machine learning problem, or vice versa, can lead to confusion more than elucidation. In this course, Keith McCormick covers how stats and machine learning are different, when to use each one, and how to use all the tools at your disposal to be clear and persuasive when you share your results. He covers topics like: Why correlation is insufficient evidence of causation; the difference between experimental and observational data; and the differences between traditional statistics and Bayesian statistics. Keith also looks at causality, a tricky topic when it comes to using statistics and machine learning to prove something causes something else. If you build machine learning models, run statistical analyses—or especially if you do both, this course is for you.",Course,2022-05-10 13:24 UTC,N/A,false,N/A,
Why Conflict is Necessary and How to Manage It,"<p>Conflict can be anxiety provoking and hard. In this course, explore how to make conflict a force for good in your work relationships. Amy Gallo, an expert on conflict management, shares how to approach what is often a necessary discomfort needed to achieve progress. Check out this course to learn about her four-step process for doing conflict better.
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2024-10-23 07:26 UTC,N/A,false,N/A,
AI-Powered Excel: Mastering Built-In Automation Features,"Learn to harness the power of the built-in AI features of Excel with the help of Microsoft MVP George Mount. George begins by covering Excel’s powerful data manipulation features, including Flash Fill and Formula by Example. Next, he takes you through advanced data entry and forecasting features, such as predictive analytics and linked data types. Learn how to master Excel’s AI-powered data visualization tools as well as data summaries with Recommended PivotTable. Lastly, George introduces the new Analyze Data function and shows numerous examples of how to put it to work.",Course,2024-10-12 20:45 UTC,N/A,false,N/A,
Building Resilience (2014),"Have trouble getting by when the going gets tough? Everyone wants to perform well when the pressure's on, but a lot of us withdraw in times of stress or adversity. If you can build your resilience, you'll have an easier time facing new challenges and earn a valuable skill to offer employers. In this course, Kelley School of Business professor and professional communications coach Tatiana Kolovou explains how to bounce back from difficult situations, by building your ""resiliency threshold."" She outlines five training techniques to prepare for difficult situations, and five strategies for reflecting on them afterward. Find out where you are on the resilience scale, identify where you want to be, and learn strategies to close the gap. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-02-08 22:15 UTC,N/A,false,N/A,
Shane Snow on Storytelling,"Storytelling is a powerful way to make people care about products, brands, and causes. It can facilitate sales, marketing, presentations, and about any other task that requires a human connection. LinkedIn Influencer and best-selling business author Shane Snow shares his approach to crafting compelling stories. Learn how to make people care with personal stories, brand stories, or any other kind of story—using the core elements of narrative and established storytelling frameworks. Find out how to maximize connections with your audience and create a culture of storytelling throughout your organization.",Course,2021-11-06 10:47 UTC,N/A,false,N/A,
Speaking Up At Work,"Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-01-20 19:04 UTC,N/A,false,N/A,
Inclusive Tech: The Case for Inclusive Leadership,"Inclusive leadership in technology can offer business, ethical, and social benefits. But what does it mean to be inclusive, why does it matter, and how do you get started? This course provides a bridge for technology managers and motivated team leaders to enter diversity, inclusion, and belonging (DIBs) training. Instructor Jessica Rose takes you through the case for inclusive leadership, what it means for a new team versus an established team, and the real challenges leaders can face around inclusivity. Jessica concludes with a look at the bigger picture in tech, reinforcing why it is everyone's responsibility to build a better future for technology.",Course,2023-04-14 05:28 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-02-05 21:13 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-12-05 19:12 UTC,N/A,false,N/A,
Picking the Right Chart for Your Data,"When selecting charts to showcase data, many people simply pick from the few choices available in Excel or other such software. This can be highly limiting, and can result in the selection of charts that fail to effectively convey whatever you're trying to communicate. This course can help you think more strategically about your data, and provide you with the tools you need to pick the best visual display for the type of data you're working with—and your ultimate communication goals. Main topics include getting to the key idea you're trying to communicate; finding the right standard chart for your data type; and brainstorming and experimenting to come up with alternatives to the standards.",Course,2024-09-25 10:02 UTC,N/A,false,N/A,
Creative Animation in Photoshop,"If you’re a designer, producer, or animator, you’re probably already familiar with using Adobe Photoshop. But did you know that you can use Photoshop to create animations with a variety of different styles and effects? In this course, award-winning animator Dermot O'Connor builds on the foundations outlined in his previous course Animating in Photoshop to explore different animation styles, special effects, live action techniques, video exports, and more. Learn how to start animating with complete artistic freedom, regardless of your background or level of experience. From drawing and animating to aesthetic media styles, custom effects, and live action animation, Dermot helps you get up to speed with the skills you need to know to design beautiful, eye-catching animations in Adobe Photoshop.",Course,2023-09-19 10:07 UTC,N/A,false,N/A,
